#id  @ time(ms)          message
49  235   Rime started with address 0.0.0.0.0.0.0.49
31  238   MAC 00:00:00:00:00:00:00:1f Contiki-3.x-3343-gbc2e44581 started. Node id is set to 31.
31  247   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
49  249   MAC 00:00:00:00:00:00:00:31 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 49.
49  257   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
31  260   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
31  270   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
49  270   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
31  272   HRPL: RPL started
49  280   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
31  280   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
49  283   HRPL: RPL started
49  291   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
31  291   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001f
7  292   Rime started with address 0.0.0.0.0.0.0.7
31  294   Starting 'app-p2p-node'
31  298   new udp socket is registered
49  301   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0031
31  303   I am node 31 in the sending list
8  304   Rime started with address 0.0.0.0.0.0.0.8
49  304   Starting 'app-p2p-node'
7  305   MAC 00:00:00:00:00:00:00:07 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 7.
49  309   new udp socket is registered
49  312   I am in the receiving list
7  314   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
8  318   MAC 00:00:00:00:00:00:00:08 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 8.
48  319   Rime started with address 0.0.0.0.0.0.0.48
8  326   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
7  327   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
48  333   MAC 00:00:00:00:00:00:00:30 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 48.
7  337   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
8  339   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
7  339   HRPL: RPL started
48  341   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
7  347   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
8  349   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
8  352   HRPL: RPL started
48  354   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
33  356   Rime started with address 0.0.0.0.0.0.0.33
7  358   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0007
8  360   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
7  361   Starting 'app-p2p-node'
48  364   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
7  365   new udp socket is registered
48  366   HRPL: RPL started
