#Time:     total      cpu     lpm       rx       tx
180     13541.20     1064.93     43.90     6082.64     6349.73
360     26799.36     2074.52     87.84     12200.28     12436.72
540     41484.33     3192.69     131.70     18784.03     19375.90
720     55612.98     4255.13     175.60     25214.61     25967.63
900     68749.93     5244.86     219.56     31320.78     31964.73
1080     86316.42     6588.04     263.25     38809.73     40655.39
1260     101164.48     7707.77     307.10     45404.28     47745.33
1440     115980.66     8839.22     350.95     52001.77     54788.72
1620     132468.51     10105.17     394.70     59113.09     62855.55
1800     146983.58     11207.68     438.57     65567.52     69769.82
1980     163528.32     12493.32     482.30     72702.07     77850.64
