#Time:  app_s   app_r   PDR    rpl_msgs   dio_s   dao_s   dis_s   mem_over   rout_d   buf_d   mac_d  hops_recv hops_all   sugg_etx  mac_tx
180   24   12   0.500   1035   406   618   11   55   12   0   0   107   178   0   107
360   168   82   0.488   1337   541   785   11   71   83   0   3   666   1176   0   666
540   312   161   0.516   1668   680   977   11   92   144   0   7   1309   2215   0   1309
720   457   247   0.540   1920   770   1139   11   108   197   0   12   1976   3222   0   1976
900   600   331   0.552   2170   868   1291   11   121   252   0   16   2620   4209   0   2620
1080   745   409   0.549   2629   1038   1580   11   145   300   0   32   3223   5213   0   3223
1260   888   505   0.569   2873   1145   1717   11   154   338   0   42   4010   6236   0   4010
1440   1032   591   0.573   3222   1266   1945   11   174   391   0   46   4680   7295   0   4680
1620   1177   666   0.566   3664   1425   2228   11   190   452   0   52   5300   8335   0   5300
1800   1321   745   0.564   3922   1553   2358   11   199   511   0   57   5982   9383   0   5982
1980   1466   822   0.561   4464   1723   2730   11   223   569   0   61   6647   10487   0   6647
