#id  @ time(ms)          message
26  163   Rime started with address 0.0.0.0.0.0.0.26
6  164   MAC 00:00:00:00:00:00:00:06 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 6.
6  173   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
26  177   MAC 00:00:00:00:00:00:00:1a Contiki-3.x-3343-gbc2e44581 started. Node id is set to 26.
26  185   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
6  186   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
30  190   Rime started with address 0.0.0.0.0.0.0.30
6  196   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
6  198   RPL: RPL started
26  198   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
6  204   RPL: The Mode of operation is Storng Mode
30  204   MAC 00:00:00:00:00:00:00:1e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 30.
26  208   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
26  211   RPL: RPL started
30  213   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
6  214   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0006
26  217   RPL: The Mode of operation is Storng Mode
6  218   Starting 'app-p2p-node'
45  219   Rime started with address 0.0.0.0.0.0.0.45
6  222   new udp socket is registered
30  226   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
26  227   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001a
26  230   Starting 'app-p2p-node'
45  232   MAC 00:00:00:00:00:00:00:2d Contiki-3.x-3343-gbc2e44581 started. Node id is set to 45.
26  235   new udp socket is registered
30  236   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
30  239   RPL: RPL started
26  239   I am node 26 in the sending list
12  240   Rime started with address 0.0.0.0.0.0.0.12
45  241   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
30  244   RPL: The Mode of operation is Storng Mode
43  248   Rime started with address 0.0.0.0.0.0.0.43
36  251   Rime started with address 0.0.0.0.0.0.0.36
45  254   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
12  254   MAC 00:00:00:00:00:00:00:0c Contiki-3.x-3343-gbc2e44581 started. Node id is set to 12.
30  255   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001e
30  258   Starting 'app-p2p-node'
8  259   Rime started with address 0.0.0.0.0.0.0.8
30  262   new udp socket is registered
43  262   MAC 00:00:00:00:00:00:00:2b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 43.
12  263   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
45  264   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
36  265   MAC 00:00:00:00:00:00:00:24 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 36.
30  266   I am in the receiving list
45  267   RPL: RPL started
43  271   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
45  273   RPL: The Mode of operation is Storng Mode
8  273   MAC 00:00:00:00:00:00:00:08 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 8.
36  274   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
12  276   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
10  279   Rime started with address 0.0.0.0.0.0.0.10
35  281   Rime started with address 0.0.0.0.0.0.0.35
8  282   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
45  283   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002d
43  284   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
12  286   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
45  286   Starting 'app-p2p-node'
